car_name,model,price,drive_type,fuel_tank_capacity,fuel_type,mileage,torque,seating_capacity,boot_space,instrument_cluster,elec_mileage,body_type,cng_mileage,power,image
Tata Nano Genx,Xt,"Rs. 2,92,667",RWD (Rear Wheel Drive),24 litres,Petrol,23.6 km/litre,51Nm@4000rpm,4,110 litres,Analog + Digital,,Hatchback,,38PS@5500rpm,https://lh3.googleusercontent.com/pw/AP1GczOTDFPV7E2Rmhfh1PWRJXwnBIcNXaBDFTay38nzKbt4VWowttj_sxjSGgks5V2n_1BMBR-x-iN9eIZF22QfG_tWsnbel3U4D8dxq-R3jv9dcfdUZ7I=w2400
Datsun Redi-Go,D,"Rs. 2,79,650",FWD (Front Wheel Drive),28 litres,Petrol,25.17 km/litre,72Nm@4386rpm,5,222 litres,Analog + Digital,,Hatchback,,54PS@5678rpm,https://images.carandbike.com/car-images/colors/datsun/redi-go/datsun-redi-go-fire-red.png?v=1590655868
Maruti Suzuki Alto K10,Lxi,"Rs. 3,77,588",FWD (Front Wheel Drive),35 litres,Petrol,24.07 km/litre,90Nm@3500rpm,5,177 litres,Analog + Digital,,Hatchback,,68PS@6000rpm,https://www.varunmaruti.com/uploads/products/colors/altok-10-metallic-speedy-blue.png
Datsun Go,D,"Rs. 3,74,990",FWD (Front Wheel Drive),35 litres,Petrol,20.1 km/litre,104Nm@4000rpm,5,265 litres,Analog + Digital,,Hatchback,,68PS@5000rpm,https://lh3.googleusercontent.com/pw/AP1GczN-XnEk2RqV0g7LMfehCcrUeyeRFrGzF3rup441xGrHkvxeU-whCle26Mg672slOP6M4fFSDrCTBBSIOnbA6cJXK6DuBVLmS1FciI5qXI6tM7ooLjI=w2400
Maruti Suzuki Celerio Tour,H2,"Rs. 4,22,444",FWD (Front Wheel Drive),35 litres,Petrol,23.1 km/litre,90Nm@3500rpm,5,235 litres,Analog + Digital,,Hatchback,,68PS@6000rpm,https://parkplus-bkt-img.parkplus.io/production/vehicle/public/frontleftside47jpgimage_20230808182720803082jpgfdc5d7243c1911eeab78acde48001122_20230816151803012270.jpg
Hyundai Santro,Era Mt,"Rs. 4,29,990",FWD (Front Wheel Drive),35 litres,Petrol,20.3 km/litre,99.04nm@4500RPM,5,,Analog,,Hatchback,,69PS@5500rpm,https://www.nicepng.com/png/full/828-8285958_the-all-new-santro-has-been-launched-in.png
Tata Tiago,Revotron Xe,"Rs. 4,60,000",FWD (Front Wheel Drive),35 litres,Petrol,23 km/litre,114NM@3300rpm,5,,Analog + Digital,,Hatchback,,86PS@6000rpm,https://sgamotors.in/wp-content/uploads/2023/12/ArizonaBlue-0.png
Maruti Suzuki Celerio X,Vxi (O),"Rs. 4,81,074",FWD (Front Wheel Drive),35 litres,Petrol,23.1 km/litre,90Nm@3500rpm,5,235 litres,Analog + Digital,,Hatchback,,68PS@6000rpm,https://parkplus-bkt-img.parkplus.io/production/vehicle/public/frontleftside47jpgimage_20230808182720803082jpgfdc5d7243c1911eeab78acde48001122_20230816151803012270.jpg
Maruti Suzuki Ignis,Alpha 1.2 Amt,"Rs. 7,13,898",FWD (Front Wheel Drive),32 litres,Petrol,20.89 km/litre,113Nm@4200RPM,5,260 litres,Analog,,Hatchback,,83PS@6000rpm,https://www.pngkey.com/png/full/250-2500093_maruti-suzuki-ignis-new-suzuki-ignis.png
Renault Triber,Rxe,"Rs. 4,95,000",FWD (Front Wheel Drive),40 litres,Petrol,20.5 km/litre,96Nm@3500rpm,7,625 litres,Analog + Digital,,MUV,,72PS@62050rpm,https://ackodrive-assets.s3.amazonaws.com/media/test_2mvqlYn.png
Toyota Etios Liva,G,"Rs. 5,20,300",FWD (Front Wheel Drive),45 litres,Petrol,18.16 km/litre,104Nm@3100rpm,5,251 litres,Analog + Digital,,Hatchback,,80PS@5600rpm,https://destinationtourcabs.com/wp-content/uploads/2020/11/20141014122143_etiosold-removebg-preview.png
Nissan Micra Active,Xl,"Rs. 5,25,021",FWD (Front Wheel Drive),41 litres,Petrol,18.97 km/litre,104Nm@4000rpm,5,251 litres,Analog + Digital,,Hatchback,,68PS@5000rpm,https://5.imimg.com/data5/DQ/YS/GLADMIN-32166101/nissan-new-sunny-car-250x250.png
Tata Bolt,Xt Diesel,"Rs. 7,87,980",FWD (Front Wheel Drive),44 litres,Diesel,22.95 km/litre,190Nm@1750-3000rpm,5,210 litres,Analog + Digital,,Hatchback,,75PS@4000rpm,https://www.pngkey.com/png/full/261-2611086_leave-a-bold-impression-in-every-colour-tata.png
Hyundai Xcent Prime,Cng T + (Cng +,"Rs. 5,56,130",FWD (Front Wheel Drive),43 litres,CNG + Petrol,,114Nm@6000rpm,5,407 litres,Analog + Digital,,Sedan,25 km/kg,83PS@6000rpm,https://www.pngkey.com/png/full/252-2526585_hyundai-xcent-marina-blue-honda-fit-2006-yellow.png
Maruti Suzuki Dzire Tour,Ldi,"Rs. 6,53,523",FWD (Front Wheel Drive),42 litres,Diesel,28.4 km/litre,190Nm@2000rpm,5,320 litres,Analog + Digital,,Sedan,,75PS@4000rpm,https://globewaytravels.co.in/wp-content/uploads/250-2500055_product-image-maruti-suzuki-swift-dzire-new-model-removebg-preview.png
Hyundai Elite I20,Era 1.2,"Rs. 5,59,693",FWD (Front Wheel Drive),45 litres,Petrol,18.6 km/litre,115Nm@4000rpm,5,285 litres,Analog + Digital,,Hatchback,,84PS@6000rpm,https://www.hyundai.com/in/en/virtual3dshowroom/i20/img/Hyundai-i20.png
Hyundai Aura,E 1.2 Petrol,"Rs. 5,79,900",FWD (Front Wheel Drive),37 litres,Petrol,20.5 km/litre,114Nm@4000rpm,5,,Analog + Digital,,Hatchback,,83PS@6000rpm,https://ackodrive-assets.s3.amazonaws.com/media/test_L5dcRGp.png
Volkswagen Polo,Trendline 1.0L (P),"Rs. 5,82,000",FWD (Front Wheel Drive),45 litres,Petrol,18.78 km/litre,95Nm@3000-4300rpm,5,280 litres,Analog + Digital,,Sedan,,76PS@6200RPM,https://purepng.com/public/uploads/large/purepng.com-volkswagenvolkswagenvolkswagen-carvolkswagen-automobilesvolkswagen-vehicles-17015276821050wyln.png
Maruti Suzuki Dzire,Lxi,"Rs. 5,82,613",FWD (Front Wheel Drive),37 litres,Petrol,22 km/litre,115Nm@4000rpm,5,378 litres,Analog + Digital,,Hatchback,,84.3PS@6000rpm,https://myholidaytrip.co.in/wp-content/uploads/2023/07/Bg-car.webp
Ford Freestyle,1.5L Tdci Ambiente,"Rs. 6,76,400",FWD (Front Wheel Drive),40 litres,Diesel,24.4 km/litre,215Nm@1750-3000RPM,5,257 litres,Analog + Digital,,Sedan,,100PS@3750RPM,https://www.pngkit.com/png/full/64-642033_ford-png-photo-ford-freestyle-on-road-price.png
Volkswagen Ameo,Trendline 1.5L Tdi,"Rs. 7,11,500",FWD (Front Wheel Drive),45 litres,Diesel,21.66 km/litre,250Nm@1500-2500rpm,5,330 litres,Analog,,Crossover,,110PS@4400rpm,https://carcraftindia.com/cdn/shop/collections/volkswagen-polo-2019.webp?v=1691507078
Ford Aspire,1.2 Ti-Vct Ambiente,"Rs. 5,98,500",FWD (Front Wheel Drive),42 litres,Petrol,20.4 km/litre,120Nm@4250rpm,5,,Analog + Digital,,Sedan,,96PS@6500rpm,https://vaishnavitoursandtravels.in/assets/img/cars/aspire.png
Toyota Platinum Etios,G,"Rs. 6,27,100",FWD (Front Wheel Drive),45 litres,Petrol,16.78 km/litre,132Nm@3000rpm,5,592 litres,Analog + Digital,,Sedan,,90PS@5600rpm,https://www.pngkey.com/png/full/458-4582839_toyota-platinum-etios-vxd-honda-amaze-vs-etios.png
Toyota Etios Cross,V,"Rs. 8,02,000",FWD (Front Wheel Drive),45 litres,Petrol,16.78 km/litre,132Nm@3000rpm,5,251 litres,Analog + Digital,,Sedan,,90PS@5600rpm,https://www.pikpng.com/pngl/b/167-1679159_toyota-etios-cross-toyota-etios-cross-black-colour.png
Mahindra Verito Vibe,D2,"Rs. 6,57,628",FWD (Front Wheel Drive),50 litres,Diesel,20.08 km/litre,160Nm@2000rpm,5,330 litres,Analog + Digital,,Hatchback,,65PS@4000rpm,https://www.carandbike.com/_next/image?url=https%3A%2F%2Fimages.carandbike.com%2Fcar-images%2Fcolors%2Fmahindra%2Fverito-vibe%2Fmahindra-verito-vibe-diamond-white.png%3Fv%3D1&w=750&q=75
Fiat Urban Cross,1.3 Multijet Active,"Rs. 6,77,618",FWD (Front Wheel Drive),45 litres,Diesel,20 km/litre,209Nm@2000rpm,5,,Analog + Digital,,Hatchback,,93PS@4000RPM,
Toyota Glanza,G Hybrid,"Rs. 7,21,900",FWD (Front Wheel Drive),37 litres,Petrol,23.87 km/litre,113Nm@4400 rpm,5,339 litres,Analog + Digital,,Crossover,,89PS@6000 rpm,https://static3.toyotabharat.com/images/showroom/glanza/new/colors/car-maroon.png
Fiat Avventura,Multijet Dynamic,"Rs. 7,96,132",FWD (Front Wheel Drive),45 litres,Diesel,20.5 km/litre,209Nm@2000rpm,5,280 litres,Analog + Digital,,Hatchback,,93PS@4000RPM,
Honda Jazz,V Petrol,"Rs. 7,45,000",FWD (Front Wheel Drive),40 litres,Petrol,18.2 km/litre,110Nm@4800rpm,5,354 litres,Analog + Digital,,Crossover,,90PS@6000rpm,https://www.pngmart.com/files/22/Honda-Jazz-Transparent-PNG.png
Jeep Compass Trailhawk,2.0 Trailhawk 4X4 At,"Rs. 26,80,000",FWD (Front Wheel Drive),60 litres,Diesel,16.3 km/litre,350Nm@1750-2500rpm,5,438 litres,Analog + Digital,,Hatchback,,173PS@3750rpm,https://medias.fcacanada.ca/jellies/renditions/2024/800x510/CC24_MPJH74_2DE_PBJ_APA_XXX_XXX_XXX.42fc184a4aa733c0ab0c5ad79ce5c857.png
Isuzu Mu-X,4X2,"Rs. 27,34,834",AWD (All Wheel Drive),76 litres,Diesel,13.8 km/litre,380Nm@1800-2800rpm,5,,Analog + Digital,,SUV,,177PS@3600rpm,https://pngimg.com/d/isuzu_PNG18.png
Mahindra Alturas G4,2Wd At,"Rs. 27,70,150",AWD (All Wheel Drive),70 litres,Diesel,12.35 km/litre,420Nm@1600-2600rpm,7,,Analog + Digital,,SUV,,178bhp@400rpm,https://qph.cf2.quoracdn.net/main-qimg-d158dab592e5bbfdf1d69dbba8783bdb
Volkswagen Tiguan,Comfortline 2.0L Tdi Amt,"Rs. 28,14,500",4WD,71 litres,Diesel,17.06 km/litre,340Nm@1750-2750rpm,7,615 litres,Analog + Digital,,SUV,,141PS@4000rpm,https://platform.cstatic-images.com/in/v2/stock_photos/1cde2b13-1d44-4e43-9c82-efa6d27372b5/2da390bd-916a-4cfc-8e54-8fffb30faab0.png
Honda Cr-V,2Wd Petrol Cvt,"Rs. 28,27,001",AWD (All Wheel Drive),57 litres,Petrol,14.4 km/litre,189NM@4300rpm,,522 litres,Digital,,SUV,,154PS@6500rpm,https://i.pinimg.com/originals/65/11/f6/6511f655e5394b689b9ca14b4a1a42bf.png
Skoda Superb Sportline,Sportline 1.8L Tsi At,"Rs. 28,99,599",AWD (All Wheel Drive),66 litres,Petrol,13.7 km/litre,250NM@1250-5000rpm,7,625 litres,Analog + Digital,,SUV,,180PS@6200RPM,https://pngimg.com/d/skoda_PNG12329.png
Audi A3,35 Tdi Premium Plus,"Rs. 30,21,200",FWD (Front Wheel Drive),50 litres,Diesel,20.38 km/litre,320Nm@1750-3000rpm,5,425 litres,Analog + Digital,,Sedan,,143PS@4000rpm,https://purepng.com/public/uploads/large/purepng.com-white-audiaudicarluxurious-carprofessional-carwhite-audi-1701527409187vkcrt.png
Mercedes B-Class,B 180 Sport,"Rs. 29,88,311",FWD (Front Wheel Drive),50 litres,Petrol,14.81 km/litre,200Nm@1250-4000rpm,5,488 litres,Analog + Digital,,Sedan,,122PS@5000rpm,https://pngimg.com/d/mercedes_PNG80210.png
Mercedes Cla-Class,200 Sport,"Rs. 35,99,000",FWD (Front Wheel Drive),56 litres,Petrol,15.04 km/litre,300Nm@1200-4000rpm,5,470 litres,Analog + Digital,,MPV,,183PS@5500rpm,https://di-uploads-pod5.dealerinspire.com/waltersmercedesbenz/uploads/2016/04/cla-sedan-no-background.png
Skoda Kodiaq,Style 2.0 Tdi 4X4 At,"Rs. 32,99,599",FWD (Front Wheel Drive),66 litres,Diesel,18.19 km/litre,350Nm@1500-3500rpm,5,625 litres,Analog + Digital,,Sedan,,177PS@4000RPM,https://www.pngkey.com/png/full/261-2616671_skoda-kodiaq-specials-kodiaq-car.png
Dc Avanti,Standard,"Rs. 34,07,407",FWD (Front Wheel Drive),60 litres,Petrol,10 km/litre,340NM@2750-5000rpm,5,,Analog + Digital,,SUV,,250PS@5500RPM,https://dcavanti.in/images/slider-content/slide-2015.png
Audi Q3,30 Tdi Premium Fwd,"Rs. 36,77,200",RWD (Rear Wheel Drive),64 litres,Diesel,15.73 km/litre,340Nm@1750-2750rpm,2,460 litres,Analog + Digital,,Coupe,,148hp@3500-4000rpm,https://www.pngmart.com/files/22/Audi-Q3-PNG-Transparent.png
Mini Cooper 5 Door,Cooper D,"Rs. 36,00,000",FWD (Front Wheel Drive),44 litres,Petrol,21.15 km/litre,270Nm@1750-2250rpm,5,278 litres,Analog,,SUV,,116PS@4000rpm,https://luxservis.com.ua/image/cache/catalog/mini_couper-removebg-preview-600x400.png
Mini Convertible,Cooper S,"Rs. 38,30,000",FWD (Front Wheel Drive),44 litres,Petrol,14.59 km/litre,280NM@1250-4600rpm,5,215 litres,Analog + Digital,,Hatchback,,192PS@5000-6000rpm,https://toppng.com/uploads/thumbnail/ew-2019-mini-convertible-cooper-convertible-in-huntington-mini-cooper-jcw-2019-11569037939iftzfobtxs.png
Volvo Xc40,D4 Momentum,"Rs. 39,90,000",FWD (Front Wheel Drive),,Diesel,,400Nm,4,,Analog + Digital,,Convertible,,190bhp,https://platform.cstatic-images.com/in/v2/stock_photos/7f41e496-bf76-46cc-9ab8-c97d0f24a626/e8b7abf0-2ff4-412a-a1ae-cc2e0c831d8b.png
Mini Clubman,Cooper S,"Rs. 41,20,000",AWD (All Wheel Drive),,Petrol,13.8 km/litre,280NM@1250rpm,5,360 litres,Analog + Digital,,SUV,,192PS@6200RPM,https://www.pngkey.com/png/full/280-2806255_cooper-clubman-mini-clubman.png
Audi A4,Premium Plus 35 Tfsi,"Rs. 41,49,000",,54 litres,Petrol,,250Nm@1500-3500,5,480 litres,Digital,,Hatchback,,150PS@5000-6000rpm,https://www.pngkey.com/png/full/870-8706421_2014-audi-a4-white-audi-a4-2014-premium.png
Mini John Cooper Works,Hatch,"Rs. 43,50,000",FWD (Front Wheel Drive),44 litres,Petrol,16.47 km/litre,320 Nm@1450-4800rpm,5,455 litres,Digital,,Sedan,,231hp@5200-6200rpm,https://i.pinimg.com/originals/23/85/3c/23853cceb77791a7b99909ecc4c48c43.png
Jaguar Xe,S Petrol,"Rs. 44,98,000",FWD (Front Wheel Drive),61 litres,Petrol,11 km/litre,365Nm@1500-4000rpm,2,455 litres,Analog + Digital,,"Sports, Hatchback",,250PS@5500RPM,https://lakshyamotors.co.in/wp-content/uploads/2022/06/1-14.png
Jaguar Xf,2.0 Prestige,"Rs. 54,36,329",RWD (Rear Wheel Drive),74 litres,Petrol,13.12 km/litre,340Nm@1750-2000RPM,5,505 litres,Analog,,Sedan,,247PS@5500rpm,https://i.pinimg.com/originals/f1/b7/d5/f1b7d56ae6a24d01515630dab0b989af.png
Audi A3 Cabriolet,40 Tfsi,"Rs. 50,38,000",RWD (Rear Wheel Drive),50 litres,Petrol,19.2 km/litre,250 Nm @ 1250 RPM,5,320 litres,Analog + Digital,,Sedan,,148 bhp @ 5100 rpm,https://4.imimg.com/data4/MM/MM/GLADMIN-/content-dam-ngw-sea-in-images-models-a3-cabriolet-others-flyout1-new.png
Audi A6,Premium Plus 45 Tfsi,"Rs. 54,42,200",FWD (Front Wheel Drive),73 litres,Petrol,14.11 km/litre,370Nm@1600-4500rpm,4,560 litres,Digital,,Convertible,,245PS@5000-6500rpm,https://www.motortrend.com/uploads/sites/10/2024/01/2024-audi-a6-premium-plus-sport-4wd-sedan-angular-front.png?w=768&width=768&q=75&format=webp
Bmw X3,Xdrive 20D Luxury Line,"Rs. 59,30,000",FWD (Front Wheel Drive),67 litres,Diesel,18.56 km/litre,400Nm@1750-2500rpm,5,550 litres,Analog + Digital,,Sedan,,190PS@4000rpm,"https://carsguide-res.cloudinary.com/image/upload/f_auto,fl_lossy,q_auto,t_cg_hero_low/v1/editorial/bmw-x3-my19-prev.png"
Land Rover Discovery Sport,SE,"Rs. 57,06,000",4WD,70 litres,Diesel,,430NM@1750rpm,5,,Analog + Digital,,SUV,,179PS@4000rpm,https://www.motortrend.com/uploads/sites/10/2017/11/2017-land-rover-discovery-sport-hse-lux-suv-angular-front.png
Volvo S90,D4 Inscription,"Rs. 58,90,000",4WD,,Diesel,,400NM@1750rpm,7,,Digital,,SUV,,190PS@4250rpm,https://images.dealer.com/ddc/vehicles/2020/Volvo/S90%20Hybrid/Sedan/perspective/front-left/2020_24.png
Audi S5,Sportback,"Rs. 72,43,000",FWD (Front Wheel Drive),58 litres,Petrol,13.57 km/litre,500Nm@1370-4500rpm,5,,Analog + Digital,,Sedan,,333PS@5400-6400RPM,https://www.carandbike.com/_next/image?url=https%3A%2F%2Fimages.carandbike.com%2Fcar-images%2Fcolors%2Faudi%2Fs5%2Faudi-s5-glacier-white.png%3Fv%3D1616581943&w=640&q=75
Bmw X5,Xdrive30D Sport,"Rs. 73,30,000",AWD (All Wheel Drive),,Diesel,13.38 km/litre,620Nm@1500-2500rpm,5,650 litres,Analog + Digital,,Sedan,,265HP@4000rpm,"https://cache.bmwusa.com/cosy.arox?pov=walkaround&brand=WBBM&vehicle=25XO&client=byo&paint=P0300&fabric=FKPSW&sa=S01CE,S01SF,S0255,S02TB,S0302,S0319,S0322,S03AT,S03MB,S0402,S0420,S0423,S0459,S0481,S0494,S04FL,S04KR,S04T8,S04UR,S0552,S05AC,S05AS,S05DM,S0676,S06AC,S06AK,S06C4,S06CP,S06NX,S06U2,S0775&quality=70&bkgnd=transparent&resp=png&angle=40&w=9800&h=8000&x=100&y=1100"
Ford Mustang,Fastback V8,"Rs. 74,62,000",AWD (All Wheel Drive),60.9 litres,Petrol,13 km/litre,515Nm@4250-4300RPM,5,,Analog + Digital,,SUV,,401PS@6550RPM,https://build.ford.com/dig/Ford/Mustang/2024/HD-TILE/Image%5B%7CFord%7CMustang%7C2024%7C1%7C1.%7C300A.P8C..PHY..88D.89W.~2WD00_BCMAB.AC--C.13R.COU.BSHEH.BYBBR.CJPAA.LTS.51W.64T.TA6.RWD.45D.99F.FS--A.HLLAD.58V.IDBAD.SY4.44X.GT.YZTAB.CLO.%5D/EXT/1/vehicle.png
Jeep Grand Cherokee,Limited,"Rs. 78,82,867",RWD (Rear Wheel Drive),93.5 litres,Diesel,12.8 km/litre,570Nm@2000rpm,4,1025 litres,Analog,,"Sedan, Coupe",,240PS@3600rpm,https://65e81151f52e248c552b-fe74cd567ea2f1228f846834bd67571e.ssl.cf1.rackcdn.com/ldm-images/2024-Jeep-Grand-Cherokee-l-Color-Bright-White-Clear-Coat.png
Bmw,Coupe,"Rs. 81,80,000",,52 litres,Petrol,9.8-10.0 km/litre,550Nm@2350-5230rpm,4,460 litres,Analog + Digital,,Convertible,,410hp@5230-7000RPM,
Porsche,Boxster,"Rs. 89,95,000",RWD (Rear Wheel Drive),54 litres,Petrol,7.4 km/litre,380Nm@1950-4500RPM,4,,Analog,,Coupe,,300PS@6500rpm,
Mercedes Gls,350 Cdi,"Rs. 88,20,000",RWD (Rear Wheel Drive),100 litres,Diesel,11.6 km/litre,619Nm@1600-2400RPM,2,,Analog,,Coupe,,258PS@3600rpm,https://www.alpineco.com/images/farm6/1237x563/3ebc1a3e75b8816003a2dcc943cd0ec6.png
Toyota Land Cruiser Prado,Vx L,"Rs. 96,30,000",AWD (All Wheel Drive),87 litres,Diesel,11.13 km/litre,410Nm@1600-2800rpm,5,,Analog + Digital,,SUV,,173PS@3400rpm,https://www.toyotacr.com/uploads/family/c0e660c77f973adff8ebc4e423223f902f9e7478.png
Lexus Rx 450H,450Hl Luxury,"Rs. 99,00,000",4WD,65 litres,Petrol,18 km/litre,335Nm@4600rpm,7,,Analog + Digital,,SUV,,262PS@6000rpm,https://www.lexus.com.sg/content/dam/lexus-v3-blueprint/models/suv/rx/rx-450h-plus/my23/masthead/my23-rx450h-plus-masthead-6x4-terrane-khaki.png
Audi Rs5,Coupe,"Rs. 1,11,41,200",AWD (All Wheel Drive),58 litres,Petrol,10.8 km/litre,600Nm@1900-5000rpm,5,465 litres,Analog + Digital,,SUV,,450PS@5700-6700rpm,"https://media.drive.com.au/obj/tx_q:80,rs:auto:640:360:1/driveau/upload/cms/uploads/anqag2hteusfgkw8gsfg"
Bmw 7-Series,730Ld Design Pure Excellence,"Rs. 1,22,90,000",AWD (All Wheel Drive),78 litres,Diesel,17.66 km/litre,620Nm@2000-2500RPM,4,515 litres,Analog + Digital,,Coupe,,265PS@4000RPM,"https://cache.bmwusa.com/cosy.arox?pov=walkaround&brand=WBBM&vehicle=247P&client=byo&paint=P0C4P&fabric=FVCSW&sa=S01CB,S01FB,S02TB,S0302,S0319,S0337,S03DZ,S0416,S043D,S0465,S04A2,S04FL,S04FM,S04NR,S04V1,S05AS,S05DM,S06AC,S06AK,S06C4,S06NX,S06U3,S06U7,S0710,S0760,S0775,S07M7,S09T1,S09T2&quality=70&bkgnd=transparent&resp=png&width=600&w=9800&h=8000&x=100&y=800&angle=40"
Audi Q8,55 Tfsi Quattro Tiptronic,"Rs. 1,33,59,500",AWD (All Wheel Drive),85 litres,Petrol,,500Nm@1370rpm,4,605 litres,Analog + Digital,,Sedan,,340PS@5000rpm,https://www.motortrend.com/uploads/sites/10/2021/10/2022-audi-q8-premium-plus-4wd-suv-angular-front.png
Mercedes S-Class,S 350 D,"Rs. 1,35,58,438",AWD (All Wheel Drive),90 litres,Diesel,13.5 km/litre,620Nm@1600-2400rpm,7,530 litres,Analog + Digital,,SUV,,258PS@3600rpm,https://di-uploads-pod7.dealerinspire.com/autohausonedens/uploads/2016/11/2015-mercedes-benz-s-class.png
Maserati Levante,Diesel,"Rs. 1,45,12,054",AWD (All Wheel Drive),80 litres,Diesel,7.9 km/litre,600Nm@2000-2600rpm,4,580 litres,Analog + Digital,,Coupe,,275PS@4000rpm,https://file.kelleybluebookimages.com/kbb/base/evox/CP/14540/2020-Maserati-Levante-front_14540_032_2400x1800_BAM.png
